name,station,date
100% Pure Poison - Windy C | FM4 Sunny Side Up,fm4,2021-04-18 08:36:02.340898
10cc - The Things We Do For Love,radiowien,2021-04-18 20:45:01.848298
24kgoldn - mood (feat. iann dior),kronehit,2021-04-19 07:21:01.739648
3 Doors Down - Here Without You,oe3,2021-04-19 02:57:01.546368
5K HD - Happy Fxxxing Life | FM4 Morning Show,fm4,2021-04-19 05:42:02.007938
:aexattack - You Are Killing Me | FM4 Soundpark,fm4,2021-04-19 00:42:01.899432
ACDC - For Those About to Rock (We Salute You),oe3,2021-04-18 18:45:01.094749
ATB feat. Topic & A7S - Your Love (9PM),oe3,2021-04-18 14:27:01.311674
Abba - Angel Eyes,radiowien,2021-04-18 10:36:02.549508
Abba - Chiquitita,radiowien,2021-04-18 17:51:02.341100
Abba - Waterloo,radiowien,2021-04-19 06:30:01.821049
Ace Of Base - The Sign,radiowien,2021-04-19 04:57:02.610555
Adaolisa - Fineboy | FM4 Hallo FM4,fm4,2021-04-18 11:39:03.850160
Adaolisa - Fineboy | FM4 Soundpark,fm4,2021-04-18 23:18:01.799808
Adele - Hello,oe3,2021-04-18 12:27:00.838260
Adele - Rolling in the Deep,oe3,2021-04-19 06:51:01.597510
Adele - Water Under The Bridge,radiowien,2021-04-18 13:24:02.760558
Adriano Celentano - Il Ragazzo Della Via Gluck,radiowien,2021-04-18 23:54:02.496312
Air - Don't Be Light | FM4 Hallo FM4,fm4,2021-04-18 14:00:02.055457
Air Supply - Even The Nights Are Better,radiowien,2021-04-18 23:48:01.602615
Alan Parsons Project - Eye In The Sky,radiowien,2021-04-18 10:06:01.860206
Alan Walker - Faded,oe3,2021-04-19 02:36:00.846812
Alanis Morissette - You Learn,oe3,2021-04-18 19:42:01.411599
Alex Max Band - Tonight,oe3,2021-04-19 06:24:01.766073
Alfa Mist - Organic Rust | FM4 Fivas Ponyhof,fm4,2021-04-18 16:57:03.057689
Alison Moyet - Invisible,radiowien,2021-04-19 07:15:04.892001
Alison Moyet - Is This Love?,radiowien,2021-04-18 16:45:02.363529
Aloe Blacc - I Need A Dollar,radiowien,2021-04-18 17:12:01.943525
Alphaville - Forever Young,radiowien,2021-04-18 22:12:01.915838
Alvaro Soler - Magia,oe3,2021-04-18 23:09:01.953194
Amy Grant - Baby Baby,radiowien,2021-04-18 23:45:02.095720
Amy MacDonald - This Is the Life,oe3,2021-04-19 04:27:02.095020
Amy Wald - Freaks,oe3,2021-04-19 02:27:01.750329
Amy Winehouse - Our Day Will Come,radiowien,2021-04-19 05:45:02.010391
