,name,station,date,artist,song,uri,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,loudness,index,spotify_artist,spotify_song,scraped_artist,scraped_song
0,10cc - The Things We Do For Love,radiowien,2021-04-18 20:45:01.848298,10cc , The Things We Do For Love,spotify:track:6KEWtSOGKpIXGw6l1uJgsR,0.163,0.637,0.528,0.0,0.122,0.0394,106.949,0.781,-9.837,1,10cc,The Things We Do For Love,,
1,10cc - The Things We Do For Love,radiowien,2021-04-18 20:45:01.848298,10cc , The Things We Do For Love,spotify:track:6KEWtSOGKpIXGw6l1uJgsR,0.163,0.637,0.528,0.0,0.122,0.0394,106.949,0.781,-9.837,1,10cc,The Things We Do For Love,,
2,10cc - The Things We Do For Love,radiowien,2021-04-27 03:54:02.141980,10cc , The Things We Do For Love,spotify:track:6KEWtSOGKpIXGw6l1uJgsR,0.163,0.637,0.528,0.0,0.122,0.0394,106.949,0.781,-9.837,1,10cc,The Things We Do For Love,,
3,10cc - The Things We Do For Love,radiowien,2021-04-27 03:54:02.141980,10cc , The Things We Do For Love,spotify:track:6KEWtSOGKpIXGw6l1uJgsR,0.163,0.637,0.528,0.0,0.122,0.0394,106.949,0.781,-9.837,1,10cc,The Things We Do For Love,,
4,24kgoldn - mood (feat. iann dior),kronehit,2021-04-19 07:21:01.739648,24kgoldn , mood (feat. iann dior),spotify:track:4jPy3l0RUwlUI9T5XHBW2m,0.174,0.701,0.716,0.0,0.324,0.0361,91.007,0.732,-3.671,2,24kGoldn,Mood (feat. iann dior),,
5,24kgoldn - mood (feat. iann dior),kronehit,2021-04-23 12:06:02.456687,24kgoldn , mood (feat. iann dior),spotify:track:4jPy3l0RUwlUI9T5XHBW2m,0.174,0.701,0.716,0.0,0.324,0.0361,91.007,0.732,-3.671,2,24kGoldn,Mood (feat. iann dior),,
6,24kgoldn - mood (feat. iann dior),kronehit,2021-05-02 07:33:01.543624,24kgoldn , mood (feat. iann dior),spotify:track:4jPy3l0RUwlUI9T5XHBW2m,0.174,0.701,0.716,0.0,0.324,0.0361,91.007,0.732,-3.671,2,24kGoldn,Mood (feat. iann dior),,
7,24kgoldn - mood (feat. iann dior),kronehit,2021-05-02 07:33:01.543624,24kgoldn , mood (feat. iann dior),spotify:track:4jPy3l0RUwlUI9T5XHBW2m,0.174,0.701,0.716,0.0,0.324,0.0361,91.007,0.732,-3.671,2,24kGoldn,Mood (feat. iann dior),,
8,3 Doors Down - Here Without You,oe3,2021-04-19 02:57:01.546368,3 Doors Down , Here Without You,spotify:track:3NLrRZoMF0Lx6zTlYqeIo4,0.0492,0.557,0.533,0.0,0.205,0.0252,143.994,0.233,-6.817,3,3 Doors Down,Here Without You,,
9,3 Doors Down - Here Without You,oe3,2021-04-19 02:57:01.546368,3 Doors Down , Here Without You,spotify:track:3NLrRZoMF0Lx6zTlYqeIo4,0.0492,0.557,0.533,0.0,0.205,0.0252,143.994,0.233,-6.817,3,3 Doors Down,Here Without You,,
10,3 Doors Down - Here Without You,oe3,2021-05-01 00:45:01.667691,3 Doors Down , Here Without You,spotify:track:3NLrRZoMF0Lx6zTlYqeIo4,0.0492,0.557,0.533,0.0,0.205,0.0252,143.994,0.233,-6.817,3,3 Doors Down,Here Without You,,
11,3 Doors Down - Here Without You,oe3,2021-05-01 00:45:01.667691,3 Doors Down , Here Without You,spotify:track:3NLrRZoMF0Lx6zTlYqeIo4,0.0492,0.557,0.533,0.0,0.205,0.0252,143.994,0.233,-6.817,3,3 Doors Down,Here Without You,,
12,5K HD - Happy Fxxxing Life ,fm4,2021-04-19 05:42:02.007938,5K HD , Happy Fxxxing Life ,spotify:track:251tbCCIMfcaTAjbBBd08U,0.267,0.76,0.887,0.166,0.0424,0.0368,132.072,0.716,-4.935,4,5K HD,Happy Fxxxing Life,,
13,5K HD - Happy Fxxxing Life ,fm4,2021-04-19 05:42:02.007938,5K HD , Happy Fxxxing Life ,spotify:track:251tbCCIMfcaTAjbBBd08U,0.267,0.76,0.887,0.166,0.0424,0.0368,132.072,0.716,-4.935,4,5K HD,Happy Fxxxing Life,,
14,5K HD - Happy Fxxxing Life ,fm4,2021-04-25 14:21:02.432277,5K HD , Happy Fxxxing Life ,spotify:track:251tbCCIMfcaTAjbBBd08U,0.267,0.76,0.887,0.166,0.0424,0.0368,132.072,0.716,-4.935,4,5K HD,Happy Fxxxing Life,,
15,5K HD - Happy Fxxxing Life ,fm4,2021-05-01 04:12:02.355612,5K HD , Happy Fxxxing Life ,spotify:track:251tbCCIMfcaTAjbBBd08U,0.267,0.76,0.887,0.166,0.0424,0.0368,132.072,0.716,-4.935,4,5K HD,Happy Fxxxing Life,,
16,5K HD - Happy Fxxxing Life ,fm4,2021-04-25 14:21:02.432277,5K HD , Happy Fxxxing Life ,spotify:track:251tbCCIMfcaTAjbBBd08U,0.267,0.76,0.887,0.166,0.0424,0.0368,132.072,0.716,-4.935,4,5K HD,Happy Fxxxing Life,,
17,5K HD - Happy Fxxxing Life ,fm4,2021-05-01 04:12:02.355612,5K HD , Happy Fxxxing Life ,spotify:track:251tbCCIMfcaTAjbBBd08U,0.267,0.76,0.887,0.166,0.0424,0.0368,132.072,0.716,-4.935,4,5K HD,Happy Fxxxing Life,,
18,ACDC - For Those About to Rock (We Salute You),oe3,2021-04-18 18:45:01.094749,ACDC , For Those About to Rock (We Salute You),spotify:track:17lu4tymfnhmcIDlzBbtAb,0.000376,0.37,0.919,0.419,0.49,0.102,134.021,0.471,-5.721,6,AC/DC,For Those About to Rock (We Salute You),,
19,ACDC - For Those About to Rock (We Salute You),oe3,2021-04-18 18:45:01.094749,ACDC , For Those About to Rock (We Salute You),spotify:track:17lu4tymfnhmcIDlzBbtAb,0.000376,0.37,0.919,0.419,0.49,0.102,134.021,0.471,-5.721,6,AC/DC,For Those About to Rock (We Salute You),,
20,ACDC - For Those About to Rock (We Salute You),oe3,2021-04-18 18:45:01.094749,ACDC , For Those About to Rock (We Salute You),spotify:track:17lu4tymfnhmcIDlzBbtAb,0.000376,0.37,0.919,0.419,0.49,0.102,134.021,0.471,-5.721,6,AC/DC,For Those About to Rock (We Salute You),,
21,ACDC - For Those About to Rock (We Salute You),oe3,2021-04-18 18:45:01.094749,ACDC , For Those About to Rock (We Salute You),spotify:track:17lu4tymfnhmcIDlzBbtAb,0.000376,0.37,0.919,0.419,0.49,0.102,134.021,0.471,-5.721,6,AC/DC,For Those About to Rock (We Salute You),,
