,name,station,date,artist,song
0,100% Pure Poison - Windy C ,fm4,2021-04-18 08:36:02.340898,100% Pure Poison , Windy C 
1,10cc - The Things We Do For Love,radiowien,2021-04-18 20:45:01.848298,10cc , The Things We Do For Love
2,24kgoldn - mood (feat. iann dior),kronehit,2021-04-19 07:21:01.739648,24kgoldn , mood (feat. iann dior)
3,3 Doors Down - Here Without You,oe3,2021-04-19 02:57:01.546368,3 Doors Down , Here Without You
4,5K HD - Happy Fxxxing Life ,fm4,2021-04-19 05:42:02.007938,5K HD , Happy Fxxxing Life 
5,:aexattack - You Are Killing Me ,fm4,2021-04-19 00:42:01.899432,:aexattack , You Are Killing Me 
6,ACDC - For Those About to Rock (We Salute You),oe3,2021-04-18 18:45:01.094749,ACDC , For Those About to Rock (We Salute You)
7,ATB feat. Topic & A7S - Your Love (9PM),oe3,2021-04-18 14:27:01.311674,ATB feat. Topic & A7S , Your Love (9PM)
8,Abba - Angel Eyes,radiowien,2021-04-18 10:36:02.549508,Abba , Angel Eyes
9,Abba - Chiquitita,radiowien,2021-04-18 17:51:02.341100,Abba , Chiquitita
10,Abba - Waterloo,radiowien,2021-04-19 06:30:01.821049,Abba , Waterloo
11,Ace Of Base - The Sign,radiowien,2021-04-19 04:57:02.610555,Ace Of Base , The Sign
12,Adaolisa - Fineboy ,fm4,2021-04-18 11:39:03.850160,Adaolisa , Fineboy 
13,Adaolisa - Fineboy ,fm4,2021-04-18 23:18:01.799808,Adaolisa , Fineboy 
14,Adele - Hello,oe3,2021-04-18 12:27:00.838260,Adele , Hello
15,Adele - Rolling in the Deep,oe3,2021-04-19 06:51:01.597510,Adele , Rolling in the Deep
16,Adele - Water Under The Bridge,radiowien,2021-04-18 13:24:02.760558,Adele , Water Under The Bridge
17,Adriano Celentano - Il Ragazzo Della Via Gluck,radiowien,2021-04-18 23:54:02.496312,Adriano Celentano , Il Ragazzo Della Via Gluck
18,Air - Don't Be Light ,fm4,2021-04-18 14:00:02.055457,Air , Don't Be Light 
19,Air Supply - Even The Nights Are Better,radiowien,2021-04-18 23:48:01.602615,Air Supply , Even The Nights Are Better
20,Alan Parsons Project - Eye In The Sky,radiowien,2021-04-18 10:06:01.860206,Alan Parsons Project , Eye In The Sky
21,Alan Walker - Faded,oe3,2021-04-19 02:36:00.846812,Alan Walker , Faded
22,Alanis Morissette - You Learn,oe3,2021-04-18 19:42:01.411599,Alanis Morissette , You Learn
23,Alex Max Band - Tonight,oe3,2021-04-19 06:24:01.766073,Alex Max Band , Tonight
24,Alfa Mist - Organic Rust ,fm4,2021-04-18 16:57:03.057689,Alfa Mist , Organic Rust 
25,Alison Moyet - Invisible,radiowien,2021-04-19 07:15:04.892001,Alison Moyet , Invisible
26,Alison Moyet - Is This Love?,radiowien,2021-04-18 16:45:02.363529,Alison Moyet , Is This Love?
27,Aloe Blacc - I Need A Dollar,radiowien,2021-04-18 17:12:01.943525,Aloe Blacc , I Need A Dollar
28,Alphaville - Forever Young,radiowien,2021-04-18 22:12:01.915838,Alphaville , Forever Young
29,Alvaro Soler - Magia,oe3,2021-04-18 23:09:01.953194,Alvaro Soler , Magia
30,Amy Grant - Baby Baby,radiowien,2021-04-18 23:45:02.095720,Amy Grant , Baby Baby
31,Amy MacDonald - This Is the Life,oe3,2021-04-19 04:27:02.095020,Amy MacDonald , This Is the Life
32,Amy Wald - Freaks,oe3,2021-04-19 02:27:01.750329,Amy Wald , Freaks
33,Amy Winehouse - Our Day Will Come,radiowien,2021-04-19 05:45:02.010391,Amy Winehouse , Our Day Will Come
34,Anastacia - Paid My Dues,radiowien,2021-04-19 00:12:01.413423,Anastacia , Paid My Dues
35,Andie Gabauer - Levitation,radiowien,2021-04-18 13:54:02.337996,Andie Gabauer , Levitation
36,Andy Baum & The Trix - Slow Down,radiowien,2021-04-18 20:39:02.242810,Andy Baum & The Trix , Slow Down
37,"Anna von ""Friedberg"" erzählt über ihr Songwriting",fm4,2021-04-18 14:12:02.748642,"Anna von ""Friedberg"" erzählt über ihr Songwriting","Anna von ""Friedberg"" erzählt über ihr Songwriting"
38,"Anna von Friedberg wÃ¼nscht sich Mattiel mit ""Count Your Bles ...",fm4,2021-04-18 14:21:02.905855,"Anna von Friedberg wÃ¼nscht sich Mattiel mit ""Count Your Bles ...","Anna von Friedberg wÃ¼nscht sich Mattiel mit ""Count Your Bles ..."
39,Anna von Friedberg wÃ¼rde gerne einmal mit Porridge Radio spielen,fm4,2021-04-18 14:39:02.441457,Anna von Friedberg wÃ¼rde gerne einmal mit Porridge Radio spielen,Anna von Friedberg wÃ¼rde gerne einmal mit Porridge Radio spielen
40,Anna-Sophie - Bad Habits,oe3,2021-04-18 21:57:01.195640,Anna,Anna
41,Anne-Marie - 2002,oe3,2021-04-18 13:57:01.787906,Anne,Anne
42,Antonello Venditti - In Questo Mondo Di Ladri,radiowien,2021-04-19 00:45:02.008477,Antonello Venditti , In Questo Mondo Di Ladri
43,Aretha Franklin - Respect,radiowien,2021-04-19 01:39:01.512517,Aretha Franklin , Respect
44,Arlo Parks - Hurt ,fm4,2021-04-18 11:57:02.841611,Arlo Parks , Hurt 
45,Attwenger - Vagismi ,fm4,2021-04-19 06:18:03.116767,Attwenger , Vagismi 
46,Ava Max - My Head & My Heart,oe3,2021-04-19 02:54:01.797350,Ava Max , My Head & My Heart
47,Ava Max - Sweet but Psycho,oe3,2021-04-18 15:36:00.993833,Ava Max , Sweet but Psycho
48,Avec - Under Water (Club Edit),oe3,2021-04-19 00:24:01.814106,Avec , Under Water (Club Edit)
49,Avicii - Hey Brother,oe3,2021-04-19 00:15:01.397249,Avicii , Hey Brother
50,Avril Lavigne - Head Above Water,oe3,2021-04-18 09:18:01.186181,Avril Lavigne , Head Above Water
51,Axwell & Ingrosso - More Than You Know,oe3,2021-04-18 22:45:01.461735,Axwell & Ingrosso , More Than You Know
52,Aze - Call Me Back ,fm4,2021-04-18 09:48:02.341254,Aze , Call Me Back 
53,B*Witched - Blame It On The Weatherman,radiowien,2021-04-18 17:57:02.237936,B*Witched , Blame It On The Weatherman
54,B.B. Cole - She Gave Me Feathers,radiowien,2021-04-18 19:15:02.550095,B.B. Cole , She Gave Me Feathers
55,BEST OF ANKARALI - Fadimem [1Nw],radiowien,2021-04-18 09:21:02.343734,BEST OF ANKARALI , Fadimem [1Nw]
56,BLOWSOM - Breathin ,fm4,2021-04-18 16:54:04.641964,BLOWSOM , Breathin 
57,Backstreet Boys - As Long As You Love Me,radiowien,2021-04-18 20:06:02.454197,Backstreet Boys , As Long As You Love Me
58,Backstreet Boys - Chances,radiowien,2021-04-19 06:27:01.419455,Backstreet Boys , Chances
59,Backstreet Boys - Show Me The Meaning Of Being Lonely,radiowien,2021-04-19 01:54:02.000677,Backstreet Boys , Show Me The Meaning Of Being Lonely
60,Bananarama - Love In The First Degree,radiowien,2021-04-18 17:45:01.654503,Bananarama , Love In The First Degree
61,Bangles - Eternal Flame,radiowien,2021-04-19 03:42:03.099401,Bangles , Eternal Flame
62,Barry Blue - Dancing On A Saturday Night,radiowien,2021-04-19 03:51:02.806568,Barry Blue , Dancing On A Saturday Night
63,Bastille - Pompeii,oe3,2021-04-19 00:48:01.149654,Bastille , Pompeii
64,Beach Boys - Good Vibrations,radiowien,2021-04-19 04:48:02.311885,Beach Boys , Good Vibrations
65,Beach Boys - Help Me Rhonda,radiowien,2021-04-19 00:09:01.412502,Beach Boys , Help Me Rhonda
66,Bebel Gilberto - Beixa (Joyce Muniz Remix) ,fm4,2021-04-19 01:39:01.911769,Bebel Gilberto , Beixa (Joyce Muniz Remix) 
67,Beck - Colors ,fm4,2021-04-18 13:51:02.551383,Beck , Colors 
68,Beck - Loser,oe3,2021-04-18 18:33:01.501234,Beck , Loser
69,Bee Gees - Secret Love,radiowien,2021-04-19 01:06:02.126528,Bee Gees , Secret Love
70,Beirut - Gallipoli ,fm4,2021-04-18 08:45:04.502986,Beirut , Gallipoli 
71,Belinda Carlisle - In Too Deep,radiowien,2021-04-19 05:48:02.127621,Belinda Carlisle , In Too Deep
72,Bellamy Brothers - Let Your Love Flow,radiowien,2021-04-19 04:54:02.606017,Bellamy Brothers , Let Your Love Flow
73,Ben E. King - Stand By Me,radiowien,2021-04-18 21:54:03.308232,Ben E. King , Stand By Me
74,Benny Sings - Nobody's Fault (feat. Tom Misch),fm4,2021-04-18 15:21:02.055207,Benny Sings , Nobody's Fault (feat. Tom Misch)
75,Biig Piig - Oh No ,fm4,2021-04-18 12:18:02.050135,Biig Piig , Oh No 
76,Bilderbuch - Nahuel Huapi,oe3,2021-04-19 01:09:02.072253,Bilderbuch , Nahuel Huapi
77,Billy Idol - Sweet Sixteen,radiowien,2021-04-19 01:30:01.205133,Billy Idol , Sweet Sixteen
78,Billy Joel - Don't Ask Me Why,radiowien,2021-04-19 05:30:01.905870,Billy Joel , Don't Ask Me Why
79,Billy Joel - The Longest Time,radiowien,2021-04-19 01:09:02.611119,Billy Joel , The Longest Time
80,Billy Joel - The River Of Dreams,radiowien,2021-04-18 13:06:02.140517,Billy Joel , The River Of Dreams
81,Billy Ocean - Caribbean Queen (No More Love On The Run),radiowien,2021-04-18 15:06:02.055157,Billy Ocean , Caribbean Queen (No More Love On The Run)
82,"Billy Ocean - Get outta My Dreams, Get into My Car",oe3,2021-04-18 17:27:01.764720,Billy Ocean ," Get outta My Dreams, Get into My Car"
83,Bingo Boys - Sugar Daddy,radiowien,2021-04-18 18:24:03.544329,Bingo Boys , Sugar Daddy
84,Birgit Denk - Cremeschnitten,radiowien,2021-04-18 19:30:04.835238,Birgit Denk , Cremeschnitten
85,Blackstreet - No Diggity (J-star rmx) ,fm4,2021-04-18 12:12:02.666929,Blackstreet ,Blackstreet 
86,Blitz The Ambassador ft. Nneka - Love On The Run,fm4,2021-04-18 08:25:16.849741,Blitz The Ambassador ft. Nneka , Love On The Run
87,Blondie - Heart Of Glass,radiowien,2021-04-18 17:30:04.989950,Blondie , Heart Of Glass
88,Blondie - Maria,radiowien,2021-04-18 22:54:01.914066,Blondie , Maria
89,Blondie - The Tide Is High,radiowien,2021-04-18 12:15:01.556259,Blondie , The Tide Is High
90,Blu De Tiger - Vintage ,fm4,2021-04-18 09:57:02.639126,Blu De Tiger , Vintage 
91,Blue feat. Elton John - Sorry Seems To Be The Hardest Word,radiowien,2021-04-18 15:48:02.349063,Blue feat. Elton John , Sorry Seems To Be The Hardest Word
92,Blur - Out Of Time ,fm4,2021-04-18 10:51:02.342809,Blur , Out Of Time 
93,Bob Dylan - Lily Of The West,radiowien,2021-04-18 15:42:01.850462,Bob Dylan , Lily Of The West
94,Bob Marley & the Wailers - Buffalo Soldier,oe3,2021-04-18 19:54:00.800399,Bob Marley & the Wailers , Buffalo Soldier
95,Bob Seger - Still The Same,radiowien,2021-04-18 12:24:02.444263,Bob Seger , Still The Same
96,Bohannon - Come Dance With Me ,fm4,2021-04-18 10:27:02.749177,Bohannon , Come Dance With Me 
97,Bon Jovi - Always,oe3,2021-04-19 00:39:01.043889,Bon Jovi , Always
98,Bon Thugs-n-Harmony - Crossroads ,fm4,2021-04-18 15:54:02.344403,Bon Thugs,Bon Thugs
99,Bonobo  Rhye - Break Apart ,fm4,2021-04-18 08:54:02.041557,Bonobo  Rhye , Break Apart 
100,Booka Shade - Sweet Lies ,fm4,2021-04-18 13:00:02.245497,Booka Shade , Sweet Lies 
101,Boy GeorgeCulture Club - Do You Really Want To Hurt Me,radiowien,2021-04-19 00:33:01.806474,Boy GeorgeCulture Club , Do You Really Want To Hurt Me
102,Boy. - Little Numbers ,fm4,2021-04-19 05:51:02.408267,Boy. , Little Numbers 
103,Boyzone - No Matter What,radiowien,2021-04-18 17:36:01.957802,Boyzone , No Matter What
104,Brandt Brauer Frick - Fuel ,fm4,2021-04-18 14:27:02.455642,Brandt Brauer Frick , Fuel 
105,Britney Spears - Baby One More Time,radiowien,2021-04-18 23:18:01.302114,Britney Spears , Baby One More Time
106,Bruce Springsteen - Born In The U.S.A.,radiowien,2021-04-19 03:06:02.611950,Bruce Springsteen , Born In The U.S.A.
107,Bruce Springsteen - Dancing In The Dark,radiowien,2021-04-18 13:21:02.540376,Bruce Springsteen , Dancing In The Dark
108,Bruno Mars - Count on Me,oe3,2021-04-19 02:48:01.639601,Bruno Mars , Count on Me
109,Bruno Mars - Just The Way You Are,radiowien,2021-04-18 21:51:01.895444,Bruno Mars , Just The Way You Are
110,Bruno Mars - The Lazy Song,radiowien,2021-04-19 06:45:01.515572,Bruno Mars , The Lazy Song
111,Bruno Mars Feat. Anderson .Paak - Leave The Door Open,fm4,2021-04-18 15:39:02.141568,Bruno Mars Feat. Anderson .Paak , Leave The Door Open
112,Bryan Adams - Cuts Like A Knife,radiowien,2021-04-18 14:09:02.354336,Bryan Adams , Cuts Like A Knife
113,Bryan Adams - Please Forgive Me,radiowien,2021-04-18 21:27:02.037902,Bryan Adams , Please Forgive Me
114,Bryan Adams - Summer of '69,oe3,2021-04-18 11:09:01.562376,Bryan Adams , Summer of '69
115,Buntspecht - Kurzes Spiel ,fm4,2021-04-19 00:39:01.795917,Buntspecht , Kurzes Spiel 
116,Buntspecht - Kurzes Spiel ,fm4,2021-04-18 10:48:01.841470,Buntspecht , Kurzes Spiel 
117,Calvin Harris feat. Ellie Goulding - Outside,oe3,2021-04-18 23:36:01.398084,Calvin Harris feat. Ellie Goulding , Outside
118,Caribou - Never Come Back ,fm4,2021-04-19 07:09:03.212926,Caribou , Never Come Back 
119,Carl Peyer - Romeo und Julia,radiowien,2021-04-18 18:18:01.848163,Carl Peyer , Romeo und Julia
120,Carly Rae Jepsen - Call Me Maybe,oe3,2021-04-18 23:48:01.245383,Carly Rae Jepsen , Call Me Maybe
121,Carole King - Where You Lead,radiowien,2021-04-18 13:57:02.738632,Carole King , Where You Lead
122,Catastrophe & Cure - Somewhere Down The Line ,fm4,2021-04-19 06:36:02.625599,Catastrophe & Cure , Somewhere Down The Line 
123,Cha Wa - Second Line Girl ,fm4,2021-04-18 16:12:02.649801,Cha Wa , Second Line Girl 
124,Charles & Eddie - Would I Lie To You,radiowien,2021-04-19 02:06:02.495154,Charles & Eddie , Would I Lie To You
125,Cher - Believe,radiowien,2021-04-19 05:36:02.812813,Cher , Believe
126,Cherry Glazerr - Big Bang ,fm4,2021-04-18 11:24:02.740992,Cherry Glazerr , Big Bang 
127,Chiny Logan - Killing Me Softly,oe3,2021-04-18 20:42:01.689810,Chiny Logan , Killing Me Softly
128,Chris Steger - Leicht kennt maÂs hom,oe3,2021-04-18 21:48:01.852220,Chris Steger , Leicht kennt maÂs hom
129,Chris Steger - Zefix,oe3,2021-04-19 03:09:01.853196,Chris Steger , Zefix
130,Christina Stuermer - Seite an Seite,radiowien,2021-04-18 16:51:02.339283,Christina Stuermer , Seite an Seite
131,Christopher Cross - All Right,radiowien,2021-04-19 06:33:01.905484,Christopher Cross , All Right
132,Claire Rosinkranz & Jeremy Zucker - Backyard Boy,fm4,2021-04-18 10:18:02.440763,Claire Rosinkranz & Jeremy Zucker , Backyard Boy
133,Climie Fisher - Love Changes Everything,radiowien,2021-04-18 13:36:02.537843,Climie Fisher , Love Changes Everything
134,Cloudelvis - Pull It ,fm4,2021-04-19 00:48:01.516056,Cloudelvis , Pull It 
135,Coldplay - A Sky Full of Stars,oe3,2021-04-19 00:06:01.165183,Coldplay , A Sky Full of Stars
136,Como - One Of Those Days,radiowien,2021-04-18 18:54:02.555473,Como , One Of Those Days
137,Count Basic - I'm Loving You,radiowien,2021-04-18 14:42:02.537578,Count Basic , I'm Loving You
138,Count Basic - Someday,radiowien,2021-04-18 19:12:04.802622,Count Basic , Someday
139,Count BasicKelli Sea - Call My Name,radiowien,2021-04-18 10:18:02.048595,Count BasicKelli Sea , Call My Name
140,Counting Crows - Mr. Jones,radiowien,2021-04-18 22:06:02.298549,Counting Crows , Mr. Jones
141,Courtney Barnett - Pedestrian At Best ,fm4,2021-04-18 14:33:02.952123,Courtney Barnett , Pedestrian At Best 
142,Crowded House - Don't Dream It's Over,radiowien,2021-04-18 21:06:02.149464,Crowded House , Don't Dream It's Over
